Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
162,1575610764781,06/12/2019 05:39:24,1575610763395,-5,06/12/2019 00:39:23,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,76,76,1,stim,Zone3,timelimit_screen,1998.2309999999998,,,0,1,0,,,1,,3,trial,,,ambiguous,block3,Slide39.jpeg,,Slide39.jpeg,,,,,,,,,,
163,1575610765220,06/12/2019 05:39:25,1575610764477,-5,06/12/2019 00:39:24,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,86,77,1,stim,advancementZone,response_keyboard,1056.269999826327,negative,1,0,1,0,,,,,3,trial,,,ambiguous,block3,Slide49.jpeg,,Slide49.jpeg,,,,,,,,,,
164,1575610766126,06/12/2019 05:39:26,1575610765375,-5,06/12/2019 00:39:25,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,86,77,1,stim,Zone1,fixation,1981.6549999999988,,,0,1,0,,,,,3,trial,,,ambiguous,block3,Slide49.jpeg,,Slide49.jpeg,,,,,,,,,,
165,1575610767844,06/12/2019 05:39:27,1575610767071,-5,06/12/2019 00:39:27,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,74,78,1,stim,advancementZone,response_keyboard,1660.2399998810142,negative,1,0,1,0,,,,,3,trial,,,ambiguous,block3,Slide37.jpeg,,Slide37.jpeg,,,,,,,,,,
166,1575610768110,06/12/2019 05:39:28,1575610767374,-5,06/12/2019 00:39:27,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,74,78,1,stim,Zone3,timelimit_screen,1998.850999999995,,,0,1,0,,,1,,3,trial,,,ambiguous,block3,Slide37.jpeg,,Slide37.jpeg,,,,,,,,,,
167,1575610769407,06/12/2019 05:39:29,1575610768677,-5,06/12/2019 00:39:28,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,83,79,1,stim,advancementZone,response_keyboard,1286.3199999555945,positive,1,0,1,0,,,,,3,trial,,,ambiguous,block3,Slide46.jpeg,,Slide46.jpeg,,,,,,,,,,
168,1575610770097,06/12/2019 05:39:30,1575610769355,-5,06/12/2019 00:39:29,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,83,79,1,stim,Zone1,fixation,1981.1000000000058,,,0,1,0,,,,,3,trial,,,ambiguous,block3,Slide46.jpeg,,Slide46.jpeg,,,,,,,,,,
169,1575610770818,06/12/2019 05:39:30,1575610770075,-5,06/12/2019 00:39:30,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,80,80,1,stim,advancementZone,response_keyboard,702.6149998418987,positive,1,0,1,0,,,,,3,trial,,,ambiguous,block3,Slide43.jpeg,,Slide43.jpeg,,,,,,,,,,
170,1575610772085,06/12/2019 05:39:32,1575610771354,-5,06/12/2019 00:39:31,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,80,80,1,stim,Zone3,timelimit_screen,1998.755999999994,,,0,1,0,,,1,,3,trial,,,ambiguous,block3,Slide43.jpeg,,Slide43.jpeg,,,,,,,,,,
171,1575610772333,06/12/2019 05:39:32,1575610771363,-5,06/12/2019 00:39:31,10365,5,task-7f4u,,3483443,A598UDLZZZAJ3,985461,,complete,zukfex,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1215x604,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,,,END TASK,,,,,187900,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
1,1574836075340,27/11/2019 06:27:55,1574836076074,-6,27/11/2019 00:27:56,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1574836078579,27/11/2019 06:27:58,1574836079368,-6,27/11/2019 00:27:59,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,1,1,1,Screen 1,advancementZone,continue_button,3108.634999996866,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1574836081914,27/11/2019 06:28:01,1574836082342,-6,27/11/2019 00:28:02,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,2999.245,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1574836083023,27/11/2019 06:28:03,1574836083840,-6,27/11/2019 00:28:03,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1499.5849999999991,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1574836084055,27/11/2019 06:28:04,1574836084878,-6,27/11/2019 00:28:04,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,8,1,1,stim,advancementZone,response_keyboard,991.4800000042305,negative,1,1,0,0,,,,,1,trial,,,negative,block1,AF14ANS.jpg,,9421.jpg,,,,,,,,,,
6,1574836084994,27/11/2019 06:28:04,1574836085822,-6,27/11/2019 00:28:05,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,8,1,1,stim,Zone1,fixation,1983.2660000000014,,,0,1,0,,,,,1,trial,,,negative,block1,AF14ANS.jpg,,9421.jpg,,,,,,,,,,
7,1574836085728,27/11/2019 06:28:05,1574836086566,-6,27/11/2019 00:28:06,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,27,2,1,stim,advancementZone,response_keyboard,692.1349999975064,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,AM35SUS.JPG,,8501.jpg,,,,,,,,,,
8,1574836087010,27/11/2019 06:28:07,1574836087823,-6,27/11/2019 00:28:07,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,27,2,1,stim,Zone3,timelimit_screen,1999.6299999999992,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,AM35SUS.JPG,,8501.jpg,,,,,,,,,,
9,1574836087619,27/11/2019 06:28:07,1574836088444,-6,27/11/2019 00:28:08,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,12,3,1,stim,advancementZone,response_keyboard,580.0099999978556,positive,1,1,0,0,,,,,1,trial,,,positive,block1,08F_HA_O.jpg,,1710.jpg,,,,,,,,,,
10,1574836088978,27/11/2019 06:28:08,1574836089804,-6,27/11/2019 00:28:09,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,12,3,1,stim,Zone1,fixation,1982.8639999999996,,,0,1,0,,,,,1,trial,,,positive,block1,08F_HA_O.jpg,,1710.jpg,,,,,,,,,,
11,1574836089698,27/11/2019 06:28:09,1574836090540,-6,27/11/2019 00:28:10,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,16,4,1,stim,advancementZone,response_keyboard,699.5749999987311,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,02F_SP_O.jpg,,1030.jpg,,,,,,,,,,
12,1574836091356,27/11/2019 06:28:11,1574836091805,-6,27/11/2019 00:28:11,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,16,4,1,stim,Zone3,timelimit_screen,1999.5329999999994,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,02F_SP_O.jpg,,1030.jpg,,,,,,,,,,
13,1574836091607,27/11/2019 06:28:11,1574836092440,-6,27/11/2019 00:28:12,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,19,5,1,stim,advancementZone,response_keyboard,599.8350000008941,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,24M_SP_O.jpg,,2339.jpg,,,,,,,,,,
14,1574836092966,27/11/2019 06:28:12,1574836093787,-6,27/11/2019 00:28:13,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,19,5,1,stim,Zone1,fixation,1982.9070000000029,,,0,1,0,,,,,1,trial,,,ambiguous,block1,24M_SP_O.jpg,,2339.jpg,,,,,,,,,,
15,1574836093497,27/11/2019 06:28:13,1574836094327,-6,27/11/2019 00:28:14,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,9,6,1,stim,advancementZone,response_keyboard,503.7999999985914,negative,1,1,0,0,,,,,1,trial,,,negative,block1,AM10ANS.jpg,,9432.jpg,,,,,,,,,,
16,1574836094973,27/11/2019 06:28:14,1574836095787,-6,27/11/2019 00:28:15,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,9,6,1,stim,Zone3,timelimit_screen,1999.5239999999976,,,0,1,0,,,1,,1,trial,,,negative,block1,AM10ANS.jpg,,9432.jpg,,,,,,,,,,
17,1574836095567,27/11/2019 06:28:15,1574836096398,-6,27/11/2019 00:28:16,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,24,7,1,stim,advancementZone,response_keyboard,571.074999999837,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,AF30SUS.JPG,,7430.jpg,,,,,,,,,,
18,1574836096946,27/11/2019 06:28:16,1574836097770,-6,27/11/2019 00:28:17,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,24,7,1,stim,Zone1,fixation,1982.887999999999,,,0,1,0,,,,,1,trial,,,ambiguous,block1,AF30SUS.JPG,,7430.jpg,,,,,,,,,,
19,1574836097586,27/11/2019 06:28:17,1574836098409,-6,27/11/2019 00:28:18,10365,5,task-7f4u,,3425590,A1BBUPIQRHVQN4,970733,,complete,qrawek,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1143x643,1144x544,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,orders 1 and 3 - 2,10,8,1,stim,advancementZone,response_keyboard,584.9400000006426,positive,1,1,0,0,,,,,1,trial,,,positive,block1,01F_HA_O.jpg,,1440.jpg,,,,,,,,,,
